drugName,drug_category,Padding_re_con,sentiment,uC_rank,drug_category_encoded
Levonorgestrel,Hormonal Contraceptives,"[895, 3019, 195, 35, 284, 416, 148, 35, 320, 310, 52, 19, 148, 213, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[375, 338, 238, 280, 106, 65, 20, 227, 190, 227, 215, 227, 23, 103, 227, 667, 2814, 34, 11, 889, 25, 2, 151, 375, 2, 968, 10, 4, 4, 14, 12, 98, 17, 2, 284, 1, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[96, 61, 2, 320, 331, 152, 102, 44, 70, 8, 20, 60, 19, 1044, 106, 37, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[345, 74, 76, 26, 66, 135, 2315, 136, 7, 63, 20, 992, 215, 2, 667, 975, 40, 55, 45, 72, 3110, 194, 136, 32, 28, 2, 1, 79, 992, 26, 76, 26, 204, 187, 32, 8, 127, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[13, 568, 263, 2315, 1249, 568, 891, 39, 441, 924, 61, 540, 1093, 135, 195, 5, 298, 584, 36, 63, 135, 100, 784, 2686, 4116, 933, 244, 80, 568, 1625, 191, 343, 336, 5, 3615, 575, 413, 230, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[74, 14, 12, 55, 774, 36, 187, 31, 55, 53, 33, 488, 24, 20, 305, 20, 48, 13, 488, 2269, 295, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[263, 113, 375, 898, 15, 432, 1359, 8, 1396, 14, 12, 102, 44, 341, 676, 18, 861, 8, 396, 166, 150, 783, 709, 432, 456, 415, 599, 348, 564, 709, 3312, 195, 11, 396, 135, 1052, 19, 288, 182, 195, 50, 103, 19, 1094, 795, 97, 10, 4, 56, 195, 390, 72, 3, 15, 36, 396, 633, 70, 7, 33, 55, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[52, 515, 156, 406, 1586, 126, 76, 165, 1683, 104, 72, 79, 22, 345, 1092, 14, 12, 451, 24, 72, 72, 588, 49, 81, 10, 4, 1134, 33, 55, 141, 740, 208, 20, 63, 106, 289, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[1984, 135, 1041, 709, 290, 41, 34, 564, 256, 24, 44, 5, 176, 63, 40, 20, 146, 18, 541, 63, 417, 11, 40, 137, 179, 61, 81, 1299, 897, 305, 55, 968, 18, 651, 327, 961, 1365, 595, 289, 34, 9, 216, 293, 19, 66, 257, 7766, 863, 293, 64, 11, 25, 1515, 903, 247, 3, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[15, 375, 7, 75, 400, 15, 36, 964, 701, 526, 190, 179, 241, 197, 8, 172, 31, 135, 39, 7, 229, 75, 15, 31, 50, 3054, 55, 303, 446, 179, 85, 257, 77, 34, 51, 5, 1208, 36, 1901, 64, 151, 661, 179, 88, 193, 51, 5, 138, 197, 8, 247, 14124, 59, 97, 7, 5, 85, 49, 110, 33, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
